iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3companies?filters=veniamelitin&linkedContactsIds=13396752&linkedDealsIds=veniamelitin&page=13396752&limit=13396752&sort=desc&sortBy=veniamelitin","Unauthorized","401","163","50","Verify message is not empty","Status code is 404, An error message is displayed when CRM isn't enabled",,"3","1","2","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","Unauthorized","401","90","50","Verify message is not empty","Status code is 400, An error message is displayed when Owner doesn't exist",,"3","1","2","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","Unauthorized","401","184","50","Verify message is not empty","Status code is 400, An error message is displayed when CRM isn't created",,"3","1","2","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/veniam elit in","Unauthorized","401","110","50","Verify response body doesn't have company ID","Status code is 400, Verify response body doesn't have company ID",,"3","1","2","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/veniam elit in","Unauthorized","401","105","50","Verify message is not empty","Status code 400, An error message is displayed when companyId is invalid",,"3","1","2","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/veniam elit in","Unauthorized","401","73","50","Verify message is not empty","Status code is 400, An error message is displayed when companyId is invalid",,"3","1","2","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/veniam elit in","Unauthorized","401","78","50","Verify message is not empty","Status code is 400, An error message stating why company cannot be updated is displayed",,"3","1","2","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","Unauthorized","401","90","50","Verify message is not empty","Status code is 400, Verify an error message stating why pipeline stages cannot gotten is displayed",,"3","1","2","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals?filter[attributes]=veniam elit in&filter[linkedCompaniesIds]=veniam elit in&filter[linkedContactsIds]=veniam elit in&offset=13396752&limit=13396752&sort=desc","Unauthorized","401","179","50","Verify message is not empty, Verify the error message displayed doesn't contain HHTP server error code","Status code is 400, Verify an error message stating why deals are not gotten is displayed",,"4","2","2","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","Unauthorized","401","64","50","Confirm message is not empty","Status code is 500, Verify an error message is displayed",,"3","1","2","0"
